"","municip_code","state_code","municipality","total_pop","margin_index","marg_grade","deaths_total","deaths_execution","deaths_confront","deaths_aggression"
"1",1001,"01","Aguascalientes","797 010",-1.7684,"Muy bajo",37,35,0,2
"2",1002,"01","Asientos","45 492",-0.4626,"Medio",0,0,0,0
"3",1003,"01","Calvillo","54 136",-0.754,"Bajo",0,0,0,0
"4",1004,"01","Cosío","15 042",-0.6478,"Medio",3,3,0,0
"5",1005,"01","Jesús María","99 590",-1.2622,"Muy bajo",0,0,0,0
"6",1006,"01","Pabellón de Arteaga","41 862",-1.2451,"Bajo",1,0,0,1
"7",1007,"01","Rincón de Romos","49 156",-1.0346,"Bajo",2,0,2,0
"8",1008,"01","San José de Gracia","8 443",-0.7534,"Bajo",0,0,0,0
"9",1009,"01","Tepezalá","19 668",-0.6085,"Medio",1,1,0,0
"10",1010,"01","El Llano","18 828",-0.6723,"Medio",1,1,0,0
"11",1011,"01","San Francisco de los Romo","35 769",-1.1444,"Bajo",1,0,0,1
"12",2001,"02","Ensenada","466 814",-1.3605,"Muy bajo",16,16,0,0
"13",2002,"02","Mexicali","936 826",-1.7544,"Muy bajo",29,29,0,0
"14",2003,"02","Tecate","101 079",-1.4951,"Muy bajo",5,5,0,0
"15",2004,"02","Tijuana","1 559 683",-1.8166,"Muy bajo",472,461,11,0
"16",2005,"02","Playas de Rosarito","90 668",-1.4881,"Muy bajo",18,15,0,3
"17",3001,"03","Comondú","70 816",-1.1999,"Bajo",0,0,0,0
"18",3002,"03","Mulegé","59 114",-1.0868,"Bajo",1,1,0,0
"19",3003,"03","La Paz","251 871",-1.7448,"Muy bajo",5,5,0,0
"20",3008,"03","Los Cabos","238 487",-1.4602,"Muy bajo",4,3,1,0
"21",3009,"03","Loreto","16 738",-1.2663,"Muy bajo",0,0,0,0
"22",4001,"04","Calkiní","52 890",-0.2367,"Medio",0,0,0,0
"23",4002,"04","Campeche","259 005",-1.379,"Muy bajo",0,0,0,0
"24",4003,"04","Carmen","221 094",-1.1853,"Bajo",10,9,1,0
"25",4004,"04","Champotón","83 021",-0.2854,"Medio",0,0,0,0
"26",4005,"04","Hecelchakán","28 306",-0.2905,"Medio",0,0,0,0
"27",4006,"04","Hopelchén","37 777",0.1559,"Medio",0,0,0,0
"28",4007,"04","Palizada","8 352",0.1528,"Medio",0,0,0,0
"29",4008,"04","Tenabo","9 736",-0.0674,"Medio",0,0,0,0
"30",4009,"04","Escárcega","54 184",-0.1449,"Medio",0,0,0,0
"31",4010,"04","Calakmul","26 882",0.8391,"Alto",0,0,0,0
"32",4011,"04","Candelaria","41 194",0.6568,"Alto",0,0,0,0
"33",5001,"05","Abasolo","1 070",-1.0956,"Bajo",0,0,0,0
"34",5002,"05","Acuña","136 755",-1.3788,"Muy bajo",2,2,0,0
